Date,Treat,Loc,min.subniv
11/13/2016,0,C,6.055625
11/14/2016,0,C,5.126875
11/15/2016,0,C,1.224375
11/16/2016,0,C,-0.761875
11/17/2016,0,C,2.246875
11/18/2016,0,C,-0.42
11/19/2016,0,C,-1.88
11/20/2016,0,C,-2.9275
11/21/2016,0,C,-3.621875
11/22/2016,0,C,-1.641875
11/23/2016,0,C,-0.37375
11/24/2016,0,C,-0.009375
11/25/2016,0,C,0.034375
11/26/2016,0,C,-0.015625
11/27/2016,0,C,-0.02
11/28/2016,0,C,0.21625
11/29/2016,0,C,0.946875
11/30/2016,0,C,0.485625
12/1/2016,0,C,-1.689375
12/2/2016,0,C,-2.520625
12/3/2016,0,C,-2.614375
12/4/2016,0,C,-2.6025
12/5/2016,0,C,-0.621875
12/6/2016,0,C,-2.724375
12/7/2016,0,C,-4.685
12/8/2016,0,C,-5.316875
12/9/2016,0,C,-7.58625
12/10/2016,0,C,-9.785625
12/11/2016,0,C,-9.296875
12/12/2016,0,C,-7.991875
12/13/2016,0,C,-9.779375
12/14/2016,0,C,-10.720625
12/15/2016,0,C,-11.86875
12/16/2016,0,C,-10.281875
12/17/2016,0,C,-11.013125
12/18/2016,0,C,-13.196875
12/19/2016,0,C,-11.726875
12/20/2016,0,C,-5.314375
12/21/2016,0,C,-3.7475
12/22/2016,0,C,-3.818125
12/23/2016,0,C,-2.805625
12/24/2016,0,C,-3.11125
12/25/2016,0,C,-3.098125
12/26/2016,0,C,-4.97375
12/27/2016,0,C,-8.4825
12/28/2016,0,C,-8.513125
12/29/2016,0,C,-4.064375
12/30/2016,0,C,-6.50125
12/31/2016,0,C,-6.356875
1/1/2017,0,C,-5.62
1/2/2017,0,C,-5.6075
1/3/2017,0,C,-7.5125
1/4/2017,0,C,-11.93875
1/5/2017,0,C,-13.728125
1/6/2017,0,C,-14.5475
1/7/2017,0,C,-12.865
1/8/2017,0,C,-14.345625
1/9/2017,0,C,-9.079375
1/10/2017,0,C,-6.688125
1/11/2017,0,C,-7.254375
1/12/2017,0,C,-13.191875
1/13/2017,0,C,-17.77375
1/14/2017,0,C,-12.455
1/15/2017,0,C,-12.9225
1/16/2017,0,C,-7.680625
1/17/2017,0,C,-7.25875
1/18/2017,0,C,-4.081875
1/19/2017,0,C,-2.16125
1/20/2017,0,C,-0.141875
1/21/2017,0,C,-0.075625
1/22/2017,0,C,-0.083125
1/23/2017,0,C,-0.075625
1/24/2017,0,C,-0.329375
1/25/2017,0,C,-1.7175
1/26/2017,0,C,-4.1025
1/27/2017,0,C,-5.903125
1/28/2017,0,C,-5.606875
1/29/2017,0,C,-10.79
1/30/2017,0,C,-10.988125
1/31/2017,0,C,-5.40375
2/1/2017,0,C,-6.3725
2/2/2017,0,C,-8.06
2/3/2017,0,C,-9.27875
2/4/2017,0,C,-7.98125
2/5/2017,0,C,-6.961875
2/6/2017,0,C,-6.926875
2/7/2017,0,C,-5.075625
2/8/2017,0,C,-6.934375
2/9/2017,0,C,-8.298125
2/10/2017,0,C,-6.82875
2/11/2017,0,C,-2.74375
2/12/2017,0,C,-2.880625
2/13/2017,0,C,-3.211875
2/14/2017,0,C,-2.8875
2/15/2017,0,C,-5.2825
2/16/2017,0,C,-4.7
2/17/2017,0,C,-3.0875
2/18/2017,0,C,-0.086875
2/19/2017,0,C,-0.30125
2/20/2017,0,C,0.01875
2/21/2017,0,C,0.00375
2/22/2017,0,C,-0.07125
2/23/2017,0,C,-3.61375
2/24/2017,0,C,-7.4825
2/25/2017,0,C,-10.505
2/26/2017,0,C,-6.185
