Date,Treat,Loc,min.subniv
11/13/2016,0,HH,5.599375
11/14/2016,0,HH,4.830625
11/15/2016,0,HH,4.86
11/16/2016,0,HH,3.195625
11/17/2016,0,HH,7.258125
11/18/2016,0,HH,0.84375
11/19/2016,0,HH,-2.0075
11/20/2016,0,HH,-2.614375
11/21/2016,0,HH,-1.64125
11/22/2016,0,HH,0.0225
11/23/2016,0,HH,1.000625
11/24/2016,0,HH,1.086875
11/25/2016,0,HH,1.04875
11/26/2016,0,HH,0.285625
11/27/2016,0,HH,-0.394375
11/28/2016,0,HH,3.53625
11/29/2016,0,HH,2.1025
11/30/2016,0,HH,1.641875
12/1/2016,0,HH,-0.01875
12/2/2016,0,HH,-0.296875
12/3/2016,0,HH,-0.903125
12/4/2016,0,HH,-0.90625
12/5/2016,0,HH,-0.078125
12/6/2016,0,HH,-2.055
12/7/2016,0,HH,-3.286875
12/8/2016,0,HH,-2.661875
12/9/2016,0,HH,-3.4575
12/10/2016,0,HH,-3.889375
12/11/2016,0,HH,-3.560625
12/12/2016,0,HH,-2.145625
12/13/2016,0,HH,-2.626875
12/14/2016,0,HH,-3.568125
12/15/2016,0,HH,-4.193125
12/16/2016,0,HH,-3.603125
12/17/2016,0,HH,-2.47375
12/18/2016,0,HH,-3.415
12/19/2016,0,HH,-3.21625
12/20/2016,0,HH,-1.414375
12/21/2016,0,HH,-1.000625
12/22/2016,0,HH,-0.85625
12/23/2016,0,HH,-0.849375
12/24/2016,0,HH,-0.020625
12/25/2016,0,HH,0.023125
12/26/2016,0,HH,-1.031875
12/27/2016,0,HH,-2.4075
12/28/2016,0,HH,-2.224375
12/29/2016,0,HH,-0.97875
12/30/2016,0,HH,-1.735625
12/31/2016,0,HH,-1.665625
1/1/2017,0,HH,-1.489375
1/2/2017,0,HH,-0.906875
1/3/2017,0,HH,-3.043125
1/4/2017,0,HH,-4.50125
1/5/2017,0,HH,-5.240625
1/6/2017,0,HH,-5.58375
1/7/2017,0,HH,-5.465625
1/8/2017,0,HH,-5.68875
1/9/2017,0,HH,-2.595625
1/10/2017,0,HH,-1.563125
1/11/2017,0,HH,-1.8025
1/12/2017,0,HH,-1.83375
1/13/2017,0,HH,-2.73125
1/14/2017,0,HH,-2.231875
1/15/2017,0,HH,-2.59125
1/16/2017,0,HH,-1.876875
1/17/2017,0,HH,-0.7625
1/18/2017,0,HH,-0.496875
1/19/2017,0,HH,-0.164375
1/20/2017,0,HH,-0.05125
1/21/2017,0,HH,-0.0475
1/22/2017,0,HH,-0.04375
1/23/2017,0,HH,-0.04
1/24/2017,0,HH,-0.1525
1/25/2017,0,HH,-0.746875
1/26/2017,0,HH,-1.44
1/27/2017,0,HH,-2.04125
1/28/2017,0,HH,-2.180625
1/29/2017,0,HH,-4.68
1/30/2017,0,HH,-5.20125
1/31/2017,0,HH,-1.33375
2/1/2017,0,HH,-2.6925
2/2/2017,0,HH,-3.43
2/3/2017,0,HH,-4.040625
2/4/2017,0,HH,-3.75875
2/5/2017,0,HH,-2.306875
2/6/2017,0,HH,-2.658125
2/7/2017,0,HH,-2.11
2/8/2017,0,HH,-3.966875
2/9/2017,0,HH,-4.7
2/10/2017,0,HH,-3.118125
2/11/2017,0,HH,-0.981875
2/12/2017,0,HH,-0.625625
2/13/2017,0,HH,-2.18125
2/14/2017,0,HH,-1.278125
2/15/2017,0,HH,-3.095625
2/16/2017,0,HH,-2.3225
2/17/2017,0,HH,-1.493125
2/18/2017,0,HH,-0.020625
2/19/2017,0,HH,-0.383125
2/20/2017,0,HH,2.1075
2/21/2017,0,HH,0.5025
2/22/2017,0,HH,0.458125
2/23/2017,0,HH,-1.078125
2/24/2017,0,HH,-4.0875
2/25/2017,0,HH,-4.832857143
2/26/2017,0,HH,-3.665
2/27/2017,0,HH,-3.57125
2/28/2017,0,HH,-1.063125
3/1/2017,0,HH,-2.544375
3/2/2017,0,HH,-5.356875
3/3/2017,0,HH,-7.82125
3/4/2017,0,HH,-3.468461538
3/5/2017,0,HH,-0.6225
3/6/2017,0,HH,2.455
3/7/2017,0,HH,-1.906875
3/8/2017,0,HH,-2.963125
3/9/2017,0,HH,-4.908125
3/10/2017,0,HH,-8.37125
3/11/2017,0,HH,-8.42375
3/12/2017,0,HH,-6.540625
3/13/2017,0,HH,-6.52
3/14/2017,0,HH,-8.511875
3/15/2017,0,HH,-7.434375
3/16/2017,0,HH,-4.340625
3/17/2017,0,HH,-0.258125
3/18/2017,0,HH,-1.455625
3/19/2017,0,HH,-1.539230769
3/20/2017,0,HH,-0.283125
3/21/2017,0,HH,-2.575
3/22/2017,0,HH,-4.141875
3/23/2017,0,HH,-1.068125
3/24/2017,0,HH,0.281666667
3/25/2017,0,HH,0.26
3/26/2017,0,HH,0.39125
3/27/2017,0,HH,0.555625
3/28/2017,0,HH,-0.871875
3/29/2017,0,HH,0.480625
3/30/2017,0,HH,1.828125
3/31/2017,0,HH,-0.0975
4/1/2017,0,HH,-0.023125
4/2/2017,0,HH,1.665625
11/13/2016,3,HH,10.5625
12/2/2016,3,HH,1.16875
12/3/2016,3,HH,0.926875
12/4/2016,3,HH,-0.04
12/5/2016,3,HH,0.48
12/6/2016,3,HH,-1.860625
12/7/2016,3,HH,-3.32625
12/8/2016,3,HH,-2.73125
12/9/2016,3,HH,-2.97
12/10/2016,3,HH,-3.880625
12/11/2016,3,HH,-3.85
12/12/2016,3,HH,-2.45875
