Date,Treat,Loc,min.subniv
11/14/2016,0,L,7.43375
11/15/2016,0,L,5.183125
11/16/2016,0,L,1.3875
11/17/2016,0,L,4.958125
11/18/2016,0,L,4.380625
11/19/2016,0,L,-3.641875
11/20/2016,0,L,-6.149375
11/21/2016,0,L,-6.21875
11/22/2016,0,L,-7.47
11/23/2016,0,L,-0.359375
11/24/2016,0,L,0.085625
11/25/2016,0,L,-0.320625
11/26/2016,0,L,-1.20875
11/27/2016,0,L,-1.31375
11/28/2016,0,L,3.975
11/29/2016,0,L,0.99
11/30/2016,0,L,-0.53125
12/1/2016,0,L,-0.465625
12/2/2016,0,L,-0.673125
12/3/2016,0,L,-1.101875
12/4/2016,0,L,-1.7
12/5/2016,0,L,-0.239375
12/6/2016,0,L,-3.1725
12/7/2016,0,L,-5.555625
12/8/2016,0,L,-6.946875
12/9/2016,0,L,-6.845
12/10/2016,0,L,-9.789375
12/11/2016,0,L,-9.056875
12/12/2016,0,L,-4.376875
12/13/2016,0,L,-8.6975
12/14/2016,0,L,-9.73125
12/15/2016,0,L,-11.63375
12/16/2016,0,L,-9.7125
12/17/2016,0,L,-4.615
12/18/2016,0,L,-5.75625
12/19/2016,0,L,-5.97375
12/20/2016,0,L,-3.8025
12/21/2016,0,L,-2.305625
12/22/2016,0,L,-1.17625
12/23/2016,0,L,-2.071875
12/24/2016,0,L,-0.646875
12/25/2016,0,L,-1.345
12/26/2016,0,L,-1.505625
12/27/2016,0,L,-4.40375
12/28/2016,0,L,-4.996875
12/29/2016,0,L,-2.20875
12/30/2016,0,L,-2.805625
12/31/2016,0,L,-2.6925
1/1/2017,0,L,-2.4975
1/2/2017,0,L,-1.790625
1/3/2017,0,L,-1.2975
1/4/2017,0,L,-4.481875
1/5/2017,0,L,-5.88375
1/6/2017,0,L,-5.93
1/7/2017,0,L,-6.251875
1/8/2017,0,L,-5.473125
1/9/2017,0,L,-4.15375
1/10/2017,0,L,-2.6225
1/11/2017,0,L,-1.984375
1/12/2017,0,L,-2.1575
1/13/2017,0,L,-2.8725
1/14/2017,0,L,-2.649375
1/15/2017,0,L,-2.57
1/16/2017,0,L,-1.8575
1/17/2017,0,L,-0.85375
1/18/2017,0,L,-0.3725
1/19/2017,0,L,-0.200625
1/20/2017,0,L,-0.1575
1/21/2017,0,L,-0.111875
1/22/2017,0,L,-0.10375
1/23/2017,0,L,-0.1
1/24/2017,0,L,-0.091875
1/25/2017,0,L,-0.08375
1/26/2017,0,L,-0.106875
1/27/2017,0,L,-0.626875
1/28/2017,0,L,-1.188125
1/29/2017,0,L,-2.53875
1/30/2017,0,L,-3.575
1/31/2017,0,L,-2.47375
2/1/2017,0,L,-2.385
2/2/2017,0,L,-3.50875
2/3/2017,0,L,-4.281875
2/4/2017,0,L,-3.88375
2/5/2017,0,L,-2.130625
2/7/2017,0,L,-1.476875
2/8/2017,0,L,-3.12125
2/9/2017,0,L,-4.77375
2/10/2017,0,L,-3.89625
2/11/2017,0,L,-1.4775
2/12/2017,0,L,-0.943125
2/13/2017,0,L,-1.8925
2/14/2017,0,L,-0.22
2/15/2017,0,L,-2.29375
2/16/2017,0,L,-3.86125
2/17/2017,0,L,-3.4575
2/18/2017,0,L,-0.1275
2/21/2017,0,L,1.120625
2/22/2017,0,L,0.081875
2/23/2017,0,L,-0.251875
2/24/2017,0,L,-1.67
2/25/2017,0,L,-2.60625
2/26/2017,0,L,-2.579375
2/27/2017,0,L,-4.02875
2/28/2017,0,L,-0.44375
3/1/2017,0,L,-3.18875
3/2/2017,0,L,-5.580625
3/3/2017,0,L,-8.543125
3/4/2017,0,L,-9.2825
3/5/2017,0,L,-2.564
3/6/2017,0,L,0.191875
3/11/2017,0,L,-8.8
3/12/2017,0,L,-9.763125
3/13/2017,0,L,-7.50875
3/14/2017,0,L,-8.970625
3/15/2017,0,L,-8.415
3/16/2017,0,L,-6.450625
3/17/2017,0,L,-2.031875
3/18/2017,0,L,-0.669375
3/19/2017,0,L,-1.789375
3/20/2017,0,L,-1.201875
3/21/2017,0,L,-3.676875
3/22/2017,0,L,-6.1475
3/23/2017,0,L,-3.348125
3/24/2017,0,L,-0.161875
3/25/2017,0,L,-0.356875
3/26/2017,0,L,-0.301875
3/27/2017,0,L,0.328125
3/28/2017,0,L,-0.886875
3/29/2017,0,L,-1.356875
3/30/2017,0,L,-0.40625
3/31/2017,0,L,-0.82375
4/1/2017,0,L,-1.64625
4/2/2017,0,L,-0.9225
4/3/2017,0,L,3.4425
11/14/2016,3,L,9.19
11/15/2016,3,L,7.095
11/16/2016,3,L,3.7525
11/17/2016,3,L,7.119375
11/18/2016,3,L,5.365625
11/19/2016,3,L,-2.306875
11/20/2016,3,L,-3.1925
11/21/2016,3,L,-3.41875
11/22/2016,3,L,-4.461875
11/23/2016,3,L,-0.22125
11/24/2016,3,L,0.1875
11/25/2016,3,L,1.1575
11/26/2016,3,L,0.8925
11/27/2016,3,L,0.470625
11/28/2016,3,L,4.079375
11/29/2016,3,L,2.993125
11/30/2016,3,L,1.7
12/1/2016,3,L,1.842
12/2/2016,3,L,1.25
12/3/2016,3,L,-0.234375
12/4/2016,3,L,-1.02125
12/5/2016,3,L,0.008125
12/6/2016,3,L,-2.301875
12/7/2016,3,L,-3.93
12/8/2016,3,L,-5.373125
12/9/2016,3,L,-5.064375
12/10/2016,3,L,-6.61375
12/11/2016,3,L,-7.8525
12/12/2016,3,L,-2.618125
12/13/2016,3,L,-5.989375
12/14/2016,3,L,-6.504375
12/15/2016,3,L,-8.011875
12/16/2016,3,L,-6.97
12/17/2016,3,L,-3.41125
12/18/2016,3,L,-3.82125
12/19/2016,3,L,-4.00125
12/20/2016,3,L,-2.349375
12/21/2016,3,L,-1.30875
12/22/2016,3,L,-0.516875
12/23/2016,3,L,-1.119375
12/24/2016,3,L,-0.394375
12/25/2016,3,L,-0.649375
12/26/2016,3,L,-0.976875
12/27/2016,3,L,-3.115
12/28/2016,3,L,-3.500625
12/29/2016,3,L,-1.195625
12/30/2016,3,L,-2.001875
12/31/2016,3,L,-1.89125
1/1/2017,3,L,-1.656875
1/2/2017,3,L,-1.08
1/3/2017,3,L,-1.1775
1/4/2017,3,L,-3.95875
1/5/2017,3,L,-5.205
1/6/2017,3,L,-5.200625
1/7/2017,3,L,-5.669375
1/8/2017,3,L,-4.86
1/9/2017,3,L,-3.681875
1/10/2017,3,L,-2.135
1/11/2017,3,L,-1.519375
1/12/2017,3,L,-1.62625
1/13/2017,3,L,-2.32625
1/14/2017,3,L,-2.0475
1/15/2017,3,L,-2.20375
1/16/2017,3,L,-1.389375
1/17/2017,3,L,-0.614375
1/18/2017,3,L,-0.14625
1/19/2017,3,L,-0.035625
1/20/2017,3,L,-0.020625
1/21/2017,3,L,-0.020625
1/22/2017,3,L,-0.016875
1/23/2017,3,L,-0.02
1/24/2017,3,L,-0.01625
1/25/2017,3,L,-0.028125
1/26/2017,3,L,-0.045
1/27/2017,3,L,-0.52125
1/28/2017,3,L,-0.728125
1/29/2017,3,L,-2.641875
1/30/2017,3,L,-3.26375
1/31/2017,3,L,-2.0525
2/5/2017,3,L,-2.2825
2/6/2017,3,L,-2.58375
2/7/2017,3,L,-1.5525
2/8/2017,3,L,-3.891875
2/9/2017,3,L,-5.825625
2/10/2017,3,L,-4.456875
2/11/2017,3,L,-1.19
2/12/2017,3,L,-0.73125
2/13/2017,3,L,-1.62625
2/14/2017,3,L,-0.41125
2/15/2017,3,L,-2.29375
2/16/2017,3,L,-3.8
2/17/2017,3,L,-3.68375
2/18/2017,3,L,0.55
2/21/2017,3,L,2.751666667
2/22/2017,3,L,1.013125
2/23/2017,3,L,0.461875
2/24/2017,3,L,-1.24375
2/25/2017,3,L,-1.634375
2/26/2017,3,L,-1.63125
2/27/2017,3,L,-2.763125
2/28/2017,3,L,-0.0675
3/1/2017,3,L,-2.61875
3/2/2017,3,L,-4.79375
3/3/2017,3,L,-7.528125
3/4/2017,3,L,-8.638125
3/5/2017,3,L,-1.56
3/6/2017,3,L,0.35625
3/11/2017,3,L,-6.341875
3/12/2017,3,L,-7.73625
3/13/2017,3,L,-6.994375
3/14/2017,3,L,-8.601875
3/15/2017,3,L,-7.63375
3/16/2017,3,L,-5.723125
3/17/2017,3,L,-1.676875
3/18/2017,3,L,-0.130625
3/19/2017,3,L,-0.830625
3/20/2017,3,L,-0.473125
3/21/2017,3,L,-2.203125
3/22/2017,3,L,-4.423125
3/23/2017,3,L,-1.989375
3/24/2017,3,L,-0.0675
3/25/2017,3,L,-0.261875
3/26/2017,3,L,-0.1175
3/27/2017,3,L,0.72625
3/28/2017,3,L,-0.404375
