Date,Treat,Loc,min.subniv
11/14/2016,0,MTD,1.661875
11/15/2016,0,MTD,3.71625
11/16/2016,0,MTD,1.5725
11/17/2016,0,MTD,6.2425
11/18/2016,0,MTD,0.085625
11/19/2016,0,MTD,-6.429375
11/20/2016,0,MTD,-6.5175
11/21/2016,0,MTD,-9.654375
11/22/2016,0,MTD,-11.00875
11/23/2016,0,MTD,-1.68125
11/24/2016,0,MTD,-0.4225
11/25/2016,0,MTD,-0.02375
11/26/2016,0,MTD,-0.956875
11/27/2016,0,MTD,-4.1975
11/28/2016,0,MTD,2.92625
11/29/2016,0,MTD,0.720625
11/30/2016,0,MTD,0.015625
12/1/2016,0,MTD,-2.379375
12/2/2016,0,MTD,-2.426875
12/3/2016,0,MTD,-1.458125
12/4/2016,0,MTD,-2.751875
12/5/2016,0,MTD,-1.431875
12/6/2016,0,MTD,-4.464375
12/7/2016,0,MTD,-7.37125
12/8/2016,0,MTD,-8.118125
12/9/2016,0,MTD,-11.184375
12/10/2016,0,MTD,-10.635
12/16/2016,0,MTD,-12.775
12/17/2016,0,MTD,-7.79875
12/18/2016,0,MTD,-8.345
12/19/2016,0,MTD,-8.458125
12/28/2016,0,MTD,-4.93875
12/29/2016,0,MTD,-2.24
12/30/2016,0,MTD,-2.34875
12/31/2016,0,MTD,-2.334375
1/1/2017,0,MTD,-2.3025
1/2/2017,0,MTD,-1.73125
1/3/2017,0,MTD,-1.63375
1/4/2017,0,MTD,-3.091875
1/5/2017,0,MTD,-4.149375
1/6/2017,0,MTD,-4.72875
1/7/2017,0,MTD,-5.1225
1/8/2017,0,MTD,-3.63375
1/9/2017,0,MTD,-2.7425
1/10/2017,0,MTD,-1.99
1/11/2017,0,MTD,-3.575625
1/12/2017,0,MTD,-2.980625
1/13/2017,0,MTD,-3.73875
1/14/2017,0,MTD,-3.16125
1/15/2017,0,MTD,-3.7675
1/16/2017,0,MTD,-1.955
1/17/2017,0,MTD,-1.365
1/18/2017,0,MTD,-1.566875
1/19/2017,0,MTD,-1.03625
1/20/2017,0,MTD,-0.18125
1/21/2017,0,MTD,-0.06
1/22/2017,0,MTD,-0.0475
1/23/2017,0,MTD,-0.055625
1/24/2017,0,MTD,-0.066875
1/25/2017,0,MTD,-0.2
1/26/2017,0,MTD,-0.62625
1/27/2017,0,MTD,-1.176875
1/28/2017,0,MTD,-1.478125
1/29/2017,0,MTD,-1.7825
1/30/2017,0,MTD,-2.224375
1/31/2017,0,MTD,-1.751875
2/1/2017,0,MTD,-1.301875
2/2/2017,0,MTD,-1.614375
2/3/2017,0,MTD,-1.656875
2/4/2017,0,MTD,-1.735625
2/5/2017,0,MTD,-0.934375
2/6/2017,0,MTD,-0.98625
2/7/2017,0,MTD,-0.724375
2/8/2017,0,MTD,-0.783125
2/9/2017,0,MTD,-0.985625
2/10/2017,0,MTD,-1.01
2/11/2017,0,MTD,-0.469375
2/12/2017,0,MTD,-0.436875
2/13/2017,0,MTD,-0.72625
2/17/2017,0,MTD,-0.411111111
2/18/2017,0,MTD,-0.071875
2/19/2017,0,MTD,-0.0675
2/20/2017,0,MTD,-0.0625
2/21/2017,0,MTD,-0.06
2/22/2017,0,MTD,-0.06375
2/23/2017,0,MTD,-0.641875
2/24/2017,0,MTD,-1.6
2/25/2017,0,MTD,-0.811875
2/26/2017,0,MTD,-0.754375
2/27/2017,0,MTD,-1.18125
2/28/2017,0,MTD,-0.3025
3/1/2017,0,MTD,-1.325
3/2/2017,0,MTD,-2.165625
3/3/2017,0,MTD,-2.6375
3/4/2017,0,MTD,-3.230625
3/5/2017,0,MTD,-0.934375
3/6/2017,0,MTD,-0.004375
3/7/2017,0,MTD,-0.73875
3/8/2017,0,MTD,-3.0875
3/9/2017,0,MTD,-3.79875
3/10/2017,0,MTD,-6.919375
3/11/2017,0,MTD,-8.344375
3/12/2017,0,MTD,-8.888125
3/13/2017,0,MTD,-8.63
3/14/2017,0,MTD,-10.676875
3/15/2017,0,MTD,-8.316875
3/16/2017,0,MTD,-7.063125
3/17/2017,0,MTD,-1.2425
3/18/2017,0,MTD,-1.864375
3/19/2017,0,MTD,-2.56
3/20/2017,0,MTD,-1.560625
3/21/2017,0,MTD,-6.36125
3/22/2017,0,MTD,-9.043125
3/23/2017,0,MTD,-2.400625
3/24/2017,0,MTD,-0.24375
3/25/2017,0,MTD,-0.446875
3/26/2017,0,MTD,-0.193125
3/27/2017,0,MTD,-0.848125
3/28/2017,0,MTD,-2.20375
3/29/2017,0,MTD,-2.851875
3/30/2017,0,MTD,-0.27
3/31/2017,0,MTD,-1.345
4/1/2017,0,MTD,-1.7325
4/2/2017,0,MTD,-0.6025
4/3/2017,0,MTD,2.470625
4/4/2017,0,MTD,0.844375
4/5/2017,0,MTD,-0.880625
4/6/2017,0,MTD,-1.63
4/7/2017,0,MTD,-4.02375
4/8/2017,0,MTD,0.43
4/9/2017,0,MTD,6.4975
4/10/2017,0,MTD,-0.57625
4/11/2017,0,MTD,-2.11
4/12/2017,0,MTD,-4.176875
4/13/2017,0,MTD,0.83875
4/14/2017,0,MTD,2.795
4/15/2017,0,MTD,8.13375
11/14/2016,3,MTD,2.4075
11/15/2016,3,MTD,4.309375
11/16/2016,3,MTD,3.829375
11/17/2016,3,MTD,7.868125
11/18/2016,3,MTD,0.180625
11/19/2016,3,MTD,-6.07125
