Date,Treat,Loc,min.subniv
11/13/2016,0,MTOP,5.376
11/14/2016,0,MTOP,0.575333333
11/15/2016,0,MTOP,3.526666667
11/16/2016,0,MTOP,1.102666667
11/17/2016,0,MTOP,5.904666667
11/18/2016,0,MTOP,0.562666667
11/19/2016,0,MTOP,-2.748
11/20/2016,0,MTOP,-2.731333333
11/21/2016,0,MTOP,-7.800666667
11/22/2016,0,MTOP,-9.001333333
11/23/2016,0,MTOP,-1.096
11/24/2016,0,MTOP,0.259333333
11/25/2016,0,MTOP,0.11
11/26/2016,0,MTOP,-0.480666667
11/27/2016,0,MTOP,-2.334666667
11/28/2016,0,MTOP,2.993333333
11/29/2016,0,MTOP,0.947333333
11/30/2016,0,MTOP,0.127333333
12/1/2016,0,MTOP,-0.484
12/2/2016,0,MTOP,-0.5
12/3/2016,0,MTOP,-0.180625
12/4/2016,0,MTOP,-1.180625
12/5/2016,0,MTOP,-0.255625
12/6/2016,0,MTOP,-4.015
12/7/2016,0,MTOP,-6.295
12/8/2016,0,MTOP,-5.86125
12/9/2016,0,MTOP,-2.056875
12/10/2016,0,MTOP,-3.676875
12/11/2016,0,MTOP,-3.6425
12/12/2016,0,MTOP,-1.808125
12/13/2016,0,MTOP,-3.813125
12/14/2016,0,MTOP,-4.544375
12/15/2016,0,MTOP,-3.2075
12/16/2016,0,MTOP,-2.974375
12/17/2016,0,MTOP,-2.109375
12/18/2016,0,MTOP,-1.879375
12/19/2016,0,MTOP,-2.118125
12/20/2016,0,MTOP,-1.133125
12/21/2016,0,MTOP,-0.814375
12/22/2016,0,MTOP,-0.360625
12/23/2016,0,MTOP,-0.4
12/24/2016,0,MTOP,-0.161875
12/25/2016,0,MTOP,-0.489375
12/26/2016,0,MTOP,-0.516875
12/27/2016,0,MTOP,-1.14125
12/28/2016,0,MTOP,-1.505625
12/29/2016,0,MTOP,-0.5675
12/30/2016,0,MTOP,-0.51625
12/31/2016,0,MTOP,-0.400625
1/1/2017,0,MTOP,-0.26625
1/2/2017,0,MTOP,-0.27
1/3/2017,0,MTOP,-0.220625
1/4/2017,0,MTOP,-0.656875
1/5/2017,0,MTOP,-0.891875
1/6/2017,0,MTOP,-1.064375
1/7/2017,0,MTOP,-1.22375
1/8/2017,0,MTOP,-0.89625
1/9/2017,0,MTOP,-0.656875
1/10/2017,0,MTOP,-0.54875
1/11/2017,0,MTOP,-0.525
1/12/2017,0,MTOP,-0.664375
1/13/2017,0,MTOP,-0.739375
1/14/2017,0,MTOP,-0.685
1/15/2017,0,MTOP,-0.7275
1/16/2017,0,MTOP,-0.3725
1/17/2017,0,MTOP,-0.204375
1/18/2017,0,MTOP,-0.243125
1/19/2017,0,MTOP,-0.040625
1/20/2017,0,MTOP,-0.04
1/21/2017,0,MTOP,-0.035625
1/22/2017,0,MTOP,-0.015625
1/23/2017,0,MTOP,-0.015625
1/24/2017,0,MTOP,0.808125
1/25/2017,0,MTOP,0.62875
1/26/2017,0,MTOP,0.831875
1/27/2017,0,MTOP,-0.12875
1/28/2017,0,MTOP,-0.333125
1/29/2017,0,MTOP,-0.40125
1/30/2017,0,MTOP,-0.79375
1/31/2017,0,MTOP,-0.75125
2/1/2017,0,MTOP,-0.504375
2/2/2017,0,MTOP,-0.739375
2/3/2017,0,MTOP,-0.739375
2/4/2017,0,MTOP,-0.64875
2/5/2017,0,MTOP,-0.485625
2/6/2017,0,MTOP,-0.375
2/7/2017,0,MTOP,-0.29375
2/8/2017,0,MTOP,-0.36375
2/9/2017,0,MTOP,-0.505625
2/10/2017,0,MTOP,-0.3725
2/11/2017,0,MTOP,-0.15375
2/12/2017,0,MTOP,-0.115
2/13/2017,0,MTOP,-0.180625
2/14/2017,0,MTOP,-0.04
2/15/2017,0,MTOP,-0.219375
2/16/2017,0,MTOP,-0.426875
2/17/2017,0,MTOP,-0.20375
2/18/2017,0,MTOP,0.011875
2/19/2017,0,MTOP,0.000625
2/20/2017,0,MTOP,-0.13
2/21/2017,0,MTOP,0.335
2/22/2017,0,MTOP,0.099375
2/23/2017,0,MTOP,-1.371875
2/24/2017,0,MTOP,-2.92375
2/25/2017,0,MTOP,-0.809375
2/26/2017,0,MTOP,-0.575625
2/27/2017,0,MTOP,-0.8375
2/28/2017,0,MTOP,-0.165
3/1/2017,0,MTOP,-1.41375
3/2/2017,0,MTOP,-2.126875
3/3/2017,0,MTOP,-3.01375
3/4/2017,0,MTOP,-3.528125
3/5/2017,0,MTOP,-1.32125
3/6/2017,0,MTOP,0.675625
3/7/2017,0,MTOP,-0.43
3/8/2017,0,MTOP,-4.38375
3/9/2017,0,MTOP,-6.0675
3/10/2017,0,MTOP,-9.04375
3/11/2017,0,MTOP,-11.05625
3/12/2017,0,MTOP,-10.75875
3/13/2017,0,MTOP,-10.72375
3/14/2017,0,MTOP,-13.286875
3/15/2017,0,MTOP,-11.048125
3/16/2017,0,MTOP,-8.205
3/17/2017,0,MTOP,-1.53625
3/18/2017,0,MTOP,-2.075
3/19/2017,0,MTOP,-2.60875
3/20/2017,0,MTOP,-2.31875
3/21/2017,0,MTOP,-6.864375
3/22/2017,0,MTOP,-9.086875
3/23/2017,0,MTOP,-2.356875
3/24/2017,0,MTOP,-0.11125
3/25/2017,0,MTOP,-0.44625
3/26/2017,0,MTOP,-0.070625
3/27/2017,0,MTOP,-0.891875
3/28/2017,0,MTOP,-2.4975
3/29/2017,0,MTOP,-2.794375
3/30/2017,0,MTOP,0.415
3/31/2017,0,MTOP,-0.45375
4/1/2017,0,MTOP,-0.978125
4/2/2017,0,MTOP,0.67
4/3/2017,0,MTOP,3.3925
4/4/2017,0,MTOP,1.3525
4/5/2017,0,MTOP,-0.188125
4/6/2017,0,MTOP,-1.30875
4/7/2017,0,MTOP,-3.64625
4/8/2017,0,MTOP,2.019
4/9/2017,0,MTOP,7.029230769
4/10/2017,0,MTOP,0.14125
4/11/2017,0,MTOP,-0.728125
4/12/2017,0,MTOP,-1.211875
4/13/2017,0,MTOP,1.939166667
4/14/2017,0,MTOP,3.219166667
4/15/2017,0,MTOP,8.11
11/13/2016,3,MTOP,7.08
11/14/2016,3,MTOP,3.232857143
11/15/2016,3,MTOP,5.363333333
11/16/2016,3,MTOP,3.508666667
11/17/2016,3,MTOP,7.212666667
11/18/2016,3,MTOP,0.605333333
11/19/2016,3,MTOP,-1.905333333
11/20/2016,3,MTOP,-1.393333333
11/21/2016,3,MTOP,-5.544666667
11/22/2016,3,MTOP,-6.689333333
11/23/2016,3,MTOP,-0.67
11/24/2016,3,MTOP,0.326666667
11/25/2016,3,MTOP,0.131333333
11/26/2016,3,MTOP,0.492
11/27/2016,3,MTOP,-0.609333333
11/28/2016,3,MTOP,3.188
11/29/2016,3,MTOP,2.048
11/30/2016,3,MTOP,0.143333333
12/1/2016,3,MTOP,-0.580666667
12/2/2016,3,MTOP,-0.542666667
12/3/2016,3,MTOP,-0.106875
12/4/2016,3,MTOP,-0.45
12/5/2016,3,MTOP,-0.161875
12/6/2016,3,MTOP,-2.665
12/7/2016,3,MTOP,-4.81625
12/8/2016,3,MTOP,-4.915
12/9/2016,3,MTOP,-0.993333333
12/10/2016,3,MTOP,-2.314375
12/11/2016,3,MTOP,-2.6325
12/12/2016,3,MTOP,-1.1625
12/13/2016,3,MTOP,-2.43
12/14/2016,3,MTOP,-3.230666667
12/15/2016,3,MTOP,-2.470625
12/16/2016,3,MTOP,-2.509375
12/17/2016,3,MTOP,-1.788666667
12/18/2016,3,MTOP,-1.365
12/19/2016,3,MTOP,-1.496
12/20/2016,3,MTOP,-0.626875
12/21/2016,3,MTOP,-0.38375
12/22/2016,3,MTOP,-0.146666667
12/23/2016,3,MTOP,-0.062857143
12/24/2016,3,MTOP,-0.008666667
12/25/2016,3,MTOP,-0.12625
12/26/2016,3,MTOP,0
12/27/2016,3,MTOP,-1.485
12/28/2016,3,MTOP,-2.033125
12/29/2016,3,MTOP,-0.513125
12/30/2016,3,MTOP,-0.570625
12/31/2016,3,MTOP,-0.5125
1/1/2017,3,MTOP,-0.325
1/2/2017,3,MTOP,-0.095625
1/3/2017,3,MTOP,0.03625
1/4/2017,3,MTOP,-0.308666667
