Date,Treat,Loc,min.subniv
12/7/2016,0,M,-4.864375
12/8/2016,0,M,-6.1075
12/9/2016,0,M,-5.446875
12/10/2016,0,M,-6.82125
12/11/2016,0,M,-3.72
12/12/2016,0,M,-3.271875
12/13/2016,0,M,-5.59875
12/14/2016,0,M,-7.813125
12/15/2016,0,M,-9.438125
12/16/2016,0,M,-6.793125
12/17/2016,0,M,-2.621875
12/18/2016,0,M,-3.2125
12/19/2016,0,M,-3.41875
12/20/2016,0,M,-2.184375
12/21/2016,0,M,-1.06375
12/22/2016,0,M,-0.7475
12/23/2016,0,M,-0.89125
12/24/2016,0,M,-0.173125
12/25/2016,0,M,-0.11125
12/26/2016,0,M,-2.985
12/27/2016,0,M,-3.97
12/28/2016,0,M,-4.67
12/29/2016,0,M,-1.591875
12/30/2016,0,M,-4.10375
12/31/2016,0,M,-3.3225
1/1/2017,0,M,-4.641875
1/2/2017,0,M,-2.94625
1/3/2017,0,M,-6.634375
1/4/2017,0,M,-12.50125
1/5/2017,0,M,-14.165
1/6/2017,0,M,-14.860625
1/7/2017,0,M,-13.76625
1/8/2017,0,M,-13.310625
1/9/2017,0,M,-7.07875
1/10/2017,0,M,-4.969375
1/11/2017,0,M,-5.955625
1/12/2017,0,M,-7.399375
1/13/2017,0,M,-10.208125
1/14/2017,0,M,-7.20375
1/15/2017,0,M,-8.079375
1/16/2017,0,M,-6.04
1/17/2017,0,M,0.191875
1/18/2017,0,M,-0.305625
1/19/2017,0,M,-0.545
1/20/2017,0,M,0.450625
1/21/2017,0,M,0.78625
1/22/2017,0,M,0.805625
1/23/2017,0,M,0.83375
1/24/2017,0,M,0.511875
1/25/2017,0,M,-0.103125
1/26/2017,0,M,-0.840625
1/27/2017,0,M,-3.09875
1/28/2017,0,M,-3.774375
1/29/2017,0,M,-5.009375
1/30/2017,0,M,-7.208125
1/31/2017,0,M,-2.189375
2/1/2017,0,M,-5.559375
2/2/2017,0,M,-7.375625
2/3/2017,0,M,-8.52375
2/4/2017,0,M,-7.398125
2/5/2017,0,M,-4.43375
2/6/2017,0,M,-6.301875
2/7/2017,0,M,-1.055
2/8/2017,0,M,-7.2125
2/9/2017,0,M,-10.220625
2/10/2017,0,M,-6.0475
2/11/2017,0,M,-0.23125
2/12/2017,0,M,-0.36
2/13/2017,0,M,-1.453125
2/14/2017,0,M,-0.266875
2/15/2017,0,M,-2.935625
2/16/2017,0,M,-2.841875
2/17/2017,0,M,-1.65625
2/18/2017,0,M,1.290625
2/19/2017,0,M,-0.026875
2/20/2017,0,M,-0.235625
2/21/2017,0,M,2.95
2/22/2017,0,M,1.595
2/23/2017,0,M,-0.055625
2/24/2017,0,M,-1.576875
2/25/2017,0,M,-2.39875
2/26/2017,0,M,-2.430625
2/27/2017,0,M,-2.074375
2/28/2017,0,M,1.189375
3/1/2017,0,M,-0.3375
3/2/2017,0,M,-0.935625
3/3/2017,0,M,-1.783125
3/4/2017,0,M,-1.684375
3/5/2017,0,M,-0.324375
3/6/2017,0,M,0.761875
3/7/2017,0,M,2.07875
3/8/2017,0,M,0.6575
3/9/2017,0,M,-0.06
3/10/2017,0,M,-4.388125
3/11/2017,0,M,-6.19625
3/12/2017,0,M,-5.60625
3/13/2017,0,M,-3.3525
3/14/2017,0,M,-1.489375
3/15/2017,0,M,-1.64625
3/16/2017,0,M,-1.306875
3/17/2017,0,M,-0.301875
3/18/2017,0,M,-0.114375
3/19/2017,0,M,-0.153125
3/20/2017,0,M,-0.0625
3/21/2017,0,M,-1.415625
3/22/2017,0,M,-3.027142857
3/23/2017,0,M,-3.06375
3/24/2017,0,M,1.783125
3/25/2017,0,M,1.821875
3/26/2017,0,M,2.546875
3/27/2017,0,M,3.3925
11/17/2016,3,M,12.33375
11/18/2016,3,M,6.235625
11/19/2016,3,M,-0.456875
11/20/2016,3,M,-0.679375
11/21/2016,3,M,-1.43875
11/22/2016,3,M,-1.3375
11/23/2016,3,M,4.105625
11/24/2016,3,M,2.79875
11/25/2016,3,M,2.450625
11/26/2016,3,M,1.671875
11/27/2016,3,M,1.259375
11/28/2016,3,M,4.63625
11/29/2016,3,M,5.348125
11/30/2016,3,M,2.595
12/1/2016,3,M,3.69125
12/2/2016,3,M,2.521875
12/3/2016,3,M,1.52875
12/4/2016,3,M,0.083125
12/5/2016,3,M,0.116875
12/6/2016,3,M,-0.333125
12/7/2016,3,M,-2.6575
12/8/2016,3,M,-3.791875
12/9/2016,3,M,-3.996875
12/10/2016,3,M,-5.701875
12/11/2016,3,M,-4.013125
12/12/2016,3,M,-2.83375
12/13/2016,3,M,-5.653125
12/14/2016,3,M,-6.875625
12/15/2016,3,M,-8.141875
12/16/2016,3,M,-6.145625
12/17/2016,3,M,-2.39125
12/18/2016,3,M,-3.141875
12/19/2016,3,M,-3.2625
12/29/2016,3,M,-0.250625
12/30/2016,3,M,-2.400625
12/31/2016,3,M,-1.8175
1/1/2017,3,M,-3.129375
1/2/2017,3,M,-1.795
1/3/2017,3,M,-4.55625
1/4/2017,3,M,-10.599375
1/5/2017,3,M,-12.458125
1/6/2017,3,M,-13.08
1/7/2017,3,M,-12.5325
1/8/2017,3,M,-11.959375
1/9/2017,3,M,-6.39125
1/10/2017,3,M,-2.996875
1/11/2017,3,M,-4.419375
1/12/2017,3,M,-6.789375
1/13/2017,3,M,-8.954375
1/14/2017,3,M,-5.910625
1/15/2017,3,M,-7.008125
1/16/2017,3,M,-4.939375
1/17/2017,3,M,0.254375
1/18/2017,3,M,-0.395625
1/19/2017,3,M,-0.598125
1/20/2017,3,M,0.524375
1/21/2017,3,M,1.019375
1/22/2017,3,M,2.020625
1/23/2017,3,M,2.09375
1/24/2017,3,M,1.204375
1/25/2017,3,M,-0.0775
1/26/2017,3,M,-0.60625
1/27/2017,3,M,-2.086875
1/28/2017,3,M,-2.96875
1/29/2017,3,M,-4.40375
1/30/2017,3,M,-7.3175
1/31/2017,3,M,-1.9825
2/1/2017,3,M,-5.93625
2/2/2017,3,M,-8.013125
2/3/2017,3,M,-8.586875
2/4/2017,3,M,-6.759375
2/5/2017,3,M,-4.336875
2/6/2017,3,M,-6.56
2/7/2017,3,M,-0.61
2/8/2017,3,M,-5.845
2/9/2017,3,M,-8.25625
2/10/2017,3,M,-4.501875
2/11/2017,3,M,-0.04
2/12/2017,3,M,-0.290625
2/13/2017,3,M,-0.54875
2/14/2017,3,M,0.266875
2/15/2017,3,M,-1.868125
2/16/2017,3,M,-2.22875
2/17/2017,3,M,-0.915
2/18/2017,3,M,3.420625
2/19/2017,3,M,1.875625
2/20/2017,3,M,1.5
2/21/2017,3,M,6.704375
2/22/2017,3,M,4.75875
2/23/2017,3,M,0.18375
2/24/2017,3,M,-1.7675
2/25/2017,3,M,-3.26875
2/26/2017,3,M,-3.204375
2/27/2017,3,M,-2.228125
2/28/2017,3,M,3.24375
3/1/2017,3,M,-0.32875
3/2/2017,3,M,-1.266875
3/3/2017,3,M,-3.02875
3/4/2017,3,M,-2.709375
3/5/2017,3,M,-0.1575
3/6/2017,3,M,6.105625
3/7/2017,3,M,2.02
3/8/2017,3,M,1.481875
3/9/2017,3,M,0.3675
3/10/2017,3,M,-4.684375
3/11/2017,3,M,-7.056875
3/12/2017,3,M,-6.185
3/13/2017,3,M,-4.114375
3/14/2017,3,M,-1.489375
3/15/2017,3,M,-1.840625
3/16/2017,3,M,-1.414375
3/17/2017,3,M,-0.204375
3/18/2017,3,M,-0.066875
3/19/2017,3,M,-0.145625
3/20/2017,3,M,1.4375
3/21/2017,3,M,-0.8875
3/22/2017,3,M,-3.1275
3/23/2017,3,M,-3.06875
3/24/2017,3,M,3.07125
3/25/2017,3,M,1.955
3/26/2017,3,M,2.664375
3/27/2017,3,M,3.75
11/17/2016,5,M,13.095
11/18/2016,5,M,6.46625
11/19/2016,5,M,-0.931875
11/20/2016,5,M,-0.719375
11/21/2016,5,M,-1.086875
11/22/2016,5,M,-0.891875
11/23/2016,5,M,3.89625
11/24/2016,5,M,2.38125
11/25/2016,5,M,2.535625
11/26/2016,5,M,2.339375
11/27/2016,5,M,1.993125
11/28/2016,5,M,4.625625
11/29/2016,5,M,5.829375
11/30/2016,5,M,2.509375
12/1/2016,5,M,3.23625
12/2/2016,5,M,2.74375
12/3/2016,5,M,1.875
12/4/2016,5,M,-0.175
12/5/2016,5,M,-0.02625
12/6/2016,5,M,-0.4525
12/7/2016,5,M,-3.896875
12/8/2016,5,M,-4.65
12/9/2016,5,M,-3.446875
12/10/2016,5,M,-6.458125
12/11/2016,5,M,-3.99375
12/12/2016,5,M,-2.025
12/13/2016,5,M,-4.54875
12/14/2016,5,M,-6.185
12/15/2016,5,M,-7.45875
12/16/2016,5,M,-5.68875
12/17/2016,5,M,-2.504375
12/18/2016,5,M,-3.165
12/19/2016,5,M,-3.274375
12/20/2016,5,M,-1.849375
12/21/2016,5,M,-0.540625
12/22/2016,5,M,-0.15
12/23/2016,5,M,-0.20375
12/24/2016,5,M,-0.0525
12/25/2016,5,M,0.12125
12/26/2016,5,M,-1.5175
12/27/2016,5,M,-2.52125
12/28/2016,5,M,-3.54375
12/29/2016,5,M,-0.12875
12/30/2016,5,M,-2.458125
12/31/2016,5,M,-1.57
1/1/2017,5,M,-2.6625
1/2/2017,5,M,-1.696875
1/3/2017,5,M,-5.185
1/4/2017,5,M,-10.75875
1/5/2017,5,M,-12.685
1/6/2017,5,M,-13.14625
1/7/2017,5,M,-12.2475
1/8/2017,5,M,-11.798125
1/9/2017,5,M,-6.680625
1/10/2017,5,M,-2.566875
1/11/2017,5,M,-5.03625
1/12/2017,5,M,-6.524375
1/13/2017,5,M,-7.9725
1/14/2017,5,M,-4.953125
1/15/2017,5,M,-5.935
1/16/2017,5,M,-4.06875
1/17/2017,5,M,0.2775
1/18/2017,5,M,0.37625
1/19/2017,5,M,0.380625
1/20/2017,5,M,0.586875
1/21/2017,5,M,1.16875
1/22/2017,5,M,2.5325
1/23/2017,5,M,2.584375
1/24/2017,5,M,1.61125
1/25/2017,5,M,-0.0275
1/26/2017,5,M,-0.454375
1/27/2017,5,M,-1.85875
1/28/2017,5,M,-2.59875
1/29/2017,5,M,-3.8575
1/30/2017,5,M,-6.414375
1/31/2017,5,M,-1.7825
2/1/2017,5,M,-5.54
2/2/2017,5,M,-7.4225
2/3/2017,5,M,-7.924375
2/4/2017,5,M,-6.04875
2/5/2017,5,M,-3.899375
2/6/2017,5,M,-5.973125
2/7/2017,5,M,-0.66875
2/8/2017,5,M,-5.383125
2/9/2017,5,M,-7.874375
2/10/2017,5,M,-3.821875
2/11/2017,5,M,0.348125
2/12/2017,5,M,-0.32125
2/13/2017,5,M,-0.388125
2/14/2017,5,M,0.2775
2/15/2017,5,M,-1.928125
2/16/2017,5,M,-2.66875
2/17/2017,5,M,-0.754375
2/18/2017,5,M,4.3025
2/19/2017,5,M,2.286875
2/20/2017,5,M,1.5125
2/21/2017,5,M,6.625625
2/22/2017,5,M,4.85625
2/23/2017,5,M,0.324375
2/24/2017,5,M,-1.7625
2/25/2017,5,M,-3.07125
2/26/2017,5,M,-2.606875
2/27/2017,5,M,-1.825625
2/28/2017,5,M,3.386875
3/1/2017,5,M,-0.390625
3/2/2017,5,M,-1.239375
3/3/2017,5,M,-3.585625
3/4/2017,5,M,-3.021875
3/5/2017,5,M,-0.103125
3/6/2017,5,M,6.329375
3/7/2017,5,M,2.121875
3/8/2017,5,M,1.665
3/9/2017,5,M,0.7975
3/10/2017,5,M,-4.439375
3/11/2017,5,M,-6.39125
3/12/2017,5,M,-5.601875
3/13/2017,5,M,-4.00125
3/14/2017,5,M,-1.443125
3/15/2017,5,M,-1.81375
3/16/2017,5,M,-1.255
3/17/2017,5,M,-0.0875
3/18/2017,5,M,0.069375
3/19/2017,5,M,0.325625
3/20/2017,5,M,2.075625
3/21/2017,5,M,-0.685
3/22/2017,5,M,-3.044285714
3/23/2017,5,M,-2.64875
3/24/2017,5,M,3.149375
3/25/2017,5,M,2.036875
3/26/2017,5,M,2.704375
3/27/2017,5,M,3.76
11/17/2016,ext,M,9.815
11/18/2016,ext,M,3.98375
11/19/2016,ext,M,-2.265
11/20/2016,ext,M,-3.07
11/21/2016,ext,M,-3.22125
11/22/2016,ext,M,-2.8975
11/23/2016,ext,M,3.85375
11/24/2016,ext,M,2.2425
11/25/2016,ext,M,0.79875
11/26/2016,ext,M,-0.20375
11/27/2016,ext,M,-0.15625
11/28/2016,ext,M,4.52375
11/29/2016,ext,M,3.415
11/30/2016,ext,M,1.24375
12/1/2016,ext,M,1.95375
12/2/2016,ext,M,0.62375
12/3/2016,ext,M,-0.21875
12/4/2016,ext,M,-0.69625
12/5/2016,ext,M,0.25875
12/6/2016,ext,M,-2.32875
12/7/2016,ext,M,-4.443333333
12/8/2016,ext,M,-5.558333333
12/9/2016,ext,M,-5.2
12/10/2016,ext,M,-6.131666667
12/11/2016,ext,M,-3.120833333
12/12/2016,ext,M,-2.19
12/13/2016,ext,M,-4.189166667
12/14/2016,ext,M,-6.443333333
12/15/2016,ext,M,-7.818333333
12/16/2016,ext,M,-5.24
12/17/2016,ext,M,-2.06
12/18/2016,ext,M,-2.47
12/19/2016,ext,M,-2.7675
12/20/2016,ext,M,-2.15
12/21/2016,ext,M,-0.81375
12/22/2016,ext,M,-0.42375
12/23/2016,ext,M,-0.35375
12/24/2016,ext,M,0.21125
12/25/2016,ext,M,0.3675
12/26/2016,ext,M,-3.1575
12/27/2016,ext,M,-4.25875
12/28/2016,ext,M,-5.39875
12/29/2016,ext,M,-1.939166667
12/30/2016,ext,M,-4.4075
12/31/2016,ext,M,-3.684166667
1/1/2017,ext,M,-4.965833333
1/2/2017,ext,M,-3.345
1/3/2017,ext,M,-6.875833333
1/4/2017,ext,M,-12.355
1/5/2017,ext,M,-13.89666667
1/6/2017,ext,M,-14.29833333
1/7/2017,ext,M,-12.89083333
1/8/2017,ext,M,-12.74416667
1/9/2017,ext,M,-7.579166667
1/10/2017,ext,M,-5.0325
1/11/2017,ext,M,-5.673333333
1/12/2017,ext,M,-6.111666667
1/13/2017,ext,M,-7.654166667
1/14/2017,ext,M,-5.501666667
1/15/2017,ext,M,-6.710833333
1/16/2017,ext,M,-4.939166667
1/17/2017,ext,M,0.156666667
1/18/2017,ext,M,-0.671666667
1/19/2017,ext,M,-0.47
1/20/2017,ext,M,0.72
1/21/2017,ext,M,0.8975
1/22/2017,ext,M,0.500833333
1/23/2017,ext,M,0.709166667
1/24/2017,ext,M,0.393333333
1/25/2017,ext,M,-0.125
1/26/2017,ext,M,-1.250833333
1/27/2017,ext,M,-3.906666667
1/28/2017,ext,M,-4.626666667
1/29/2017,ext,M,-5.8325
1/30/2017,ext,M,-7.794166667
1/31/2017,ext,M,-2.1
2/1/2017,ext,M,-4.939166667
2/2/2017,ext,M,-6.285833333
2/3/2017,ext,M,-7.015833333
2/4/2017,ext,M,-6.23
2/5/2017,ext,M,-4.325833333
2/6/2017,ext,M,-5.935
2/7/2017,ext,M,-1.265833333
2/8/2017,ext,M,-7.085
2/9/2017,ext,M,-9.569166667
2/10/2017,ext,M,-5.345
2/11/2017,ext,M,-0.349166667
2/12/2017,ext,M,-0.886666667
2/13/2017,ext,M,-2.3075
2/14/2017,ext,M,-0.881666667
2/15/2017,ext,M,-3.579090909
2/16/2017,ext,M,-3.569166667
2/17/2017,ext,M,-2.204166667
2/18/2017,ext,M,1.835
2/19/2017,ext,M,-0.1775
2/20/2017,ext,M,-0.345
2/21/2017,ext,M,3.496666667
2/22/2017,ext,M,1.933333333
2/23/2017,ext,M,0.0825
2/24/2017,ext,M,-1.298333333
2/25/2017,ext,M,-2.5225
2/26/2017,ext,M,-2.610833333
2/27/2017,ext,M,-2.9175
2/28/2017,ext,M,1.99
3/1/2017,ext,M,0.02
3/2/2017,ext,M,-0.76
3/3/2017,ext,M,-2.21
3/4/2017,ext,M,-2.001666667
3/5/2017,ext,M,-0.595
3/6/2017,ext,M,6.110833333
3/7/2017,ext,M,1.5
3/8/2017,ext,M,-0.3475
3/9/2017,ext,M,-1.25
3/10/2017,ext,M,-6.1375
3/11/2017,ext,M,-8.036666667
3/12/2017,ext,M,-7.021666667
3/13/2017,ext,M,-3.345
3/14/2017,ext,M,-1.356666667
3/15/2017,ext,M,-1.651666667
3/16/2017,ext,M,-1.438333333
3/17/2017,ext,M,-0.521666667
3/18/2017,ext,M,-0.12
3/19/2017,ext,M,-0.0425
3/20/2017,ext,M,0.066666667
3/21/2017,ext,M,-2.079166667
3/22/2017,ext,M,-4.3625
3/23/2017,ext,M,-4.030833333
3/24/2017,ext,M,1.95
3/25/2017,ext,M,1.799166667
3/26/2017,ext,M,2.5425
3/27/2017,ext,M,3.30625
