Date,Treat,Loc,min.subniv
11/30/2016,0,A,2.234375
12/1/2016,0,A,2.29
12/2/2016,0,A,1.325
12/3/2016,0,A,0.496875
12/4/2016,0,A,0.606875
12/5/2016,0,A,0.735625
12/6/2016,0,A,-2.196875
12/7/2016,0,A,-5.009375
12/8/2016,0,A,-6.601875
12/9/2016,0,A,-5.844375
12/10/2016,0,A,-7.0325
12/11/2016,0,A,-2.096875
12/12/2016,0,A,-2.76
12/13/2016,0,A,-4.195625
12/14/2016,0,A,-5.38875
12/15/2016,0,A,-5.883125
12/16/2016,0,A,-4.70375
12/19/2016,0,A,-2.4875
12/20/2016,0,A,-2.421875
12/21/2016,0,A,-1.011875
12/22/2016,0,A,-0.96625
12/23/2016,0,A,-0.8725
12/24/2016,0,A,-0.1775
12/25/2016,0,A,-0.0825
12/26/2016,0,A,-1.564375
12/27/2016,0,A,-3.286875
12/28/2016,0,A,-3.235625
12/29/2016,0,A,-1.533125
12/30/2016,0,A,-2.818125
12/31/2016,0,A,-2.954375
1/1/2017,0,A,-4.000625
1/2/2017,0,A,-3.22
1/3/2017,0,A,-4.96125
1/4/2017,0,A,-9.170625
1/5/2017,0,A,-11.0325
1/6/2017,0,A,-12.251875
1/7/2017,0,A,-12.376875
1/8/2017,0,A,-12.208125
1/9/2017,0,A,-6.778125
1/10/2017,0,A,-5.27875
1/11/2017,0,A,-5.638125
1/12/2017,0,A,-6.17375
1/13/2017,0,A,-8.3875
1/14/2017,0,A,-7.130625
1/15/2017,0,A,-7.83
1/16/2017,0,A,-4.0325
1/17/2017,0,A,-0.059375
1/18/2017,0,A,-0.271875
1/19/2017,0,A,-0.088
1/20/2017,0,A,0.19625
1/21/2017,0,A,0.309375
1/22/2017,0,A,0.61875
1/23/2017,0,A,0.4
1/24/2017,0,A,-0.150625
1/25/2017,0,A,-0.17
1/30/2017,0,A,-3.908125
1/31/2017,0,A,-0.43875
2/1/2017,0,A,-3.014
2/2/2017,0,A,-5.918125
2/3/2017,0,A,-5.3125
2/4/2017,0,A,-6.501875
2/5/2017,0,A,-2.419375
2/6/2017,0,A,-3.763125
2/7/2017,0,A,-0.556666667
2/8/2017,0,A,-5.048125
2/9/2017,0,A,-6.845625
2/10/2017,0,A,-3.97375
2/11/2017,0,A,0.21625
2/12/2017,0,A,-0.5675
2/13/2017,0,A,-1.93125
2/14/2017,0,A,-0.360625
2/15/2017,0,A,-2.07875
2/16/2017,0,A,-1.03625
2/17/2017,0,A,-1.738125
2/18/2017,0,A,0.333125
2/19/2017,0,A,-1.23625
2/20/2017,0,A,1.62375
2/21/2017,0,A,4.636875
2/22/2017,0,A,6.31
2/23/2017,0,A,0.03875
2/24/2017,0,A,-1.598125
2/25/2017,0,A,-3.919375
2/26/2017,0,A,-3.17375
2/27/2017,0,A,-2.62625
2/28/2017,0,A,2.446875
3/1/2017,0,A,-1.009375
3/2/2017,0,A,-2.69
3/3/2017,0,A,-6.38
3/4/2017,0,A,-1.731875
3/5/2017,0,A,-0.46125
3/6/2017,0,A,7.036875
3/7/2017,0,A,1.68125
3/8/2017,0,A,-0.0025
3/9/2017,0,A,-0.10625
3/10/2017,0,A,-4.783125
3/11/2017,0,A,-6.818125
3/12/2017,0,A,-5.28625
3/13/2017,0,A,-1.38
3/14/2017,0,A,-2.996875
3/15/2017,0,A,-4.69375
3/16/2017,0,A,-5.609375
3/17/2017,0,A,-0.05875
3/18/2017,0,A,-0.06625
3/19/2017,0,A,-1.82875
3/20/2017,0,A,1.68625
3/21/2017,0,A,1.15
3/22/2017,0,A,-1.31
3/23/2017,0,A,-0.184375
3/24/2017,0,A,3.7625
3/25/2017,0,A,2.7675
3/26/2017,0,A,3.8975
3/27/2017,0,A,4.734375
3/28/2017,0,A,4.52375
3/29/2017,0,A,1.38
3/30/2017,0,A,3.044375
3/31/2017,0,A,1.45875
4/1/2017,0,A,-0.32875
4/2/2017,0,A,3.806875
4/3/2017,0,A,5.916875
4/4/2017,0,A,5.99375
4/5/2017,0,A,3.5675
4/6/2017,0,A,2.93125
11/30/2016,3,A,3.809375
12/1/2016,3,A,3.176875
12/2/2016,3,A,2.406875
12/3/2016,3,A,1.5675
12/4/2016,3,A,-0.201875
12/5/2016,3,A,0.145
12/6/2016,3,A,-0.513125
12/7/2016,3,A,-3.31375
12/8/2016,3,A,-4.1975
12/9/2016,3,A,-3.614375
12/10/2016,3,A,-5.79375
12/11/2016,3,A,-3.279375
12/12/2016,3,A,-3.364375
12/13/2016,3,A,-4.55875
12/14/2016,3,A,-5.6075
12/15/2016,3,A,-6.75875
12/16/2016,3,A,-5.434375
12/17/2016,3,A,-2.275625
12/18/2016,3,A,-3.136875
12/19/2016,3,A,-3.3575
12/20/2016,3,A,-2.044375
12/21/2016,3,A,-0.731875
12/22/2016,3,A,-0.638125
12/23/2016,3,A,-0.64125
12/24/2016,3,A,-0.1925
12/25/2016,3,A,-0.154375
12/26/2016,3,A,-1.273125
12/27/2016,3,A,-4.301875
12/28/2016,3,A,-4.055625
12/29/2016,3,A,-0.430625
12/30/2016,3,A,-1.868125
12/31/2016,3,A,-1.8325
1/1/2017,3,A,-3.774375
1/2/2017,3,A,-2.8875
1/3/2017,3,A,-3.7075
1/4/2017,3,A,-8.70875
