Date,Treat,Loc,min.subniv
11/28/2016,0,SW,6.99375
11/29/2016,0,SW,3.645625
11/30/2016,0,SW,1.6925
12/1/2016,0,SW,2.2125
12/2/2016,0,SW,0.679375
12/3/2016,0,SW,-0.050625
12/4/2016,0,SW,0.344375
12/5/2016,0,SW,0.66625
12/6/2016,0,SW,-1.53625
12/7/2016,0,SW,-4.1375
12/8/2016,0,SW,-5.91625
12/9/2016,0,SW,-4.618125
12/10/2016,0,SW,-5.58
12/11/2016,0,SW,-1.84875
12/12/2016,0,SW,-2.046875
12/13/2016,0,SW,-4.5675
12/14/2016,0,SW,-5.548125
12/15/2016,0,SW,-6.133125
12/16/2016,0,SW,-4.4175
12/17/2016,0,SW,-3.145625
12/18/2016,0,SW,-5.884375
12/19/2016,0,SW,-6.5425
12/20/2016,0,SW,-4.419375
12/21/2016,0,SW,-1.685
12/22/2016,0,SW,-1.225625
12/23/2016,0,SW,-1.2325
12/24/2016,0,SW,-0.195625
12/25/2016,0,SW,-0.043125
12/26/2016,0,SW,-2.70375
12/27/2016,0,SW,-4.74375
12/28/2016,0,SW,-4.54125
12/29/2016,0,SW,-1.989375
12/30/2016,0,SW,-3.255
12/31/2016,0,SW,-3.25125
1/1/2017,0,SW,-4.801875
1/2/2017,0,SW,-2.87625
1/3/2017,0,SW,-6.345
1/4/2017,0,SW,-11.165625
1/5/2017,0,SW,-12.845625
1/6/2017,0,SW,-13.54
1/7/2017,0,SW,-12.233125
1/8/2017,0,SW,-12.313125
1/9/2017,0,SW,-5.685
1/10/2017,0,SW,-4.1575
1/11/2017,0,SW,-4.83375
1/12/2017,0,SW,-6.678125
1/13/2017,0,SW,-9.531875
1/14/2017,0,SW,-7.606875
1/15/2017,0,SW,-6.769375
1/16/2017,0,SW,-3.54375
1/17/2017,0,SW,0.064375
1/18/2017,0,SW,-0.250625
1/19/2017,0,SW,-0.110625
1/26/2017,0,SW,-0.980625
1/27/2017,0,SW,-3.134375
1/28/2017,0,SW,-2.665625
1/29/2017,0,SW,-4.01
1/30/2017,0,SW,-6.579375
1/31/2017,0,SW,-0.57875
2/1/2017,0,SW,-4.268125
2/2/2017,0,SW,-7.750625
2/3/2017,0,SW,-7.699375
2/4/2017,0,SW,-7.239375
2/5/2017,0,SW,-3.1425
2/6/2017,0,SW,-4.435625
2/7/2017,0,SW,0.493125
2/10/2017,0,SW,0.24625
2/11/2017,0,SW,0.26375
2/12/2017,0,SW,-0.651875
2/13/2017,0,SW,-1.789375
2/14/2017,0,SW,-0.601875
2/15/2017,0,SW,-2.129375
2/16/2017,0,SW,-0.93125
2/17/2017,0,SW,-1.344375
2/18/2017,0,SW,1.1775
2/19/2017,0,SW,-0.31
2/20/2017,0,SW,2.4975
2/21/2017,0,SW,5.693125
2/22/2017,0,SW,5.31
2/23/2017,0,SW,0.93875
2/24/2017,0,SW,-0.773125
2/25/2017,0,SW,-4.50125
2/26/2017,0,SW,-3.07125
2/27/2017,0,SW,-1.821875
2/28/2017,0,SW,3.475
3/1/2017,0,SW,-0.66375
3/2/2017,0,SW,-2.248125
3/3/2017,0,SW,-4.519375
3/4/2017,0,SW,-1.039375
3/5/2017,0,SW,0.379375
3/6/2017,0,SW,7.1025
3/7/2017,0,SW,2.98125
3/8/2017,0,SW,1.52375
3/9/2017,0,SW,0.453125
3/10/2017,0,SW,-3.505
3/11/2017,0,SW,-5.49375
3/12/2017,0,SW,-5.185
3/13/2017,0,SW,-3.219375
3/14/2017,0,SW,-4.6775
3/15/2017,0,SW,-5.504375
3/16/2017,0,SW,-5.465625
3/17/2017,0,SW,0.04
3/18/2017,0,SW,0.011875
3/19/2017,0,SW,-1.54125
