Date,Treat,Loc,min.subniv
11/14/2016,0,TH,5.99375
11/15/2016,0,TH,4.705
11/16/2016,0,TH,3.64625
11/17/2016,0,TH,6.4225
11/18/2016,0,TH,0.3
11/19/2016,0,TH,-4.505625
11/20/2016,0,TH,-4.424375
11/21/2016,0,TH,-9.123125
11/22/2016,0,TH,-7.966875
11/23/2016,0,TH,-0.458125
11/24/2016,0,TH,0.16
11/25/2016,0,TH,0.171875
11/26/2016,0,TH,-1.735
11/27/2016,0,TH,-4.165
11/28/2016,0,TH,2.86875
11/29/2016,0,TH,0.351875
11/30/2016,0,TH,0.788125
12/1/2016,0,TH,-1.469375
12/2/2016,0,TH,-2.01375
12/3/2016,0,TH,-2.44375
12/4/2016,0,TH,-2.73875
12/5/2016,0,TH,-0.09875
12/6/2016,0,TH,-2.408125
12/7/2016,0,TH,-6.065
12/8/2016,0,TH,-6.769375
12/9/2016,0,TH,-7.53625
12/10/2016,0,TH,-8.61375
12/11/2016,0,TH,-7.3525
12/12/2016,0,TH,-3.036875
12/13/2016,0,TH,-5.48125
12/14/2016,0,TH,-6.365625
12/15/2016,0,TH,-7.586875
12/16/2016,0,TH,-6.676875
12/17/2016,0,TH,-2.281875
12/18/2016,0,TH,-3.298125
12/19/2016,0,TH,-3.37125
12/20/2016,0,TH,-2.033125
12/21/2016,0,TH,-1.50625
12/22/2016,0,TH,-0.658125
12/23/2016,0,TH,-1.079375
12/24/2016,0,TH,-0.3175
12/25/2016,0,TH,-0.505
12/26/2016,0,TH,-0.97
12/27/2016,0,TH,-2.031875
12/28/2016,0,TH,-1.91125
12/29/2016,0,TH,-0.949375
12/30/2016,0,TH,-1.48125
12/31/2016,0,TH,-1.423125
1/1/2017,0,TH,-1.411875
1/2/2017,0,TH,-0.9425
1/3/2017,0,TH,-1.15375
1/4/2017,0,TH,-3.35375
1/5/2017,0,TH,-3.359375
1/9/2017,0,TH,-1.7475
1/10/2017,0,TH,-1.644375
1/11/2017,0,TH,-1.36875
1/12/2017,0,TH,-1.3225
1/13/2017,0,TH,-1.8525
1/14/2017,0,TH,-1.595625
1/15/2017,0,TH,-1.934375
1/16/2017,0,TH,-1.50125
1/17/2017,0,TH,-0.746875
1/18/2017,0,TH,-0.205
1/19/2017,0,TH,-0.180625
1/20/2017,0,TH,-0.1025
1/21/2017,0,TH,-0.059375
1/22/2017,0,TH,-0.06375
1/23/2017,0,TH,-0.059375
1/24/2017,0,TH,-0.059375
1/25/2017,0,TH,-0.164375
1/26/2017,0,TH,-0.3175
1/27/2017,0,TH,-1.048125
1/28/2017,0,TH,-1.2975
1/29/2017,0,TH,-2.40375
1/30/2017,0,TH,-3.568125
1/31/2017,0,TH,-1.1875
2/1/2017,0,TH,-1.476875
2/2/2017,0,TH,-2.045
2/3/2017,0,TH,-2.634375
2/4/2017,0,TH,-2.74625
2/5/2017,0,TH,-1.505
2/6/2017,0,TH,-1.554
2/7/2017,0,TH,-1.075
2/8/2017,0,TH,-2.296875
2/9/2017,0,TH,-3.20875
2/10/2017,0,TH,-2.711875
2/11/2017,0,TH,-1.34875
2/12/2017,0,TH,-0.92375
2/13/2017,0,TH,-1.824375
2/14/2017,0,TH,-1.134375
2/15/2017,0,TH,-1.8575
2/16/2017,0,TH,-2.94
2/17/2017,0,TH,-1.524375
2/18/2017,0,TH,-0.176875
2/19/2017,0,TH,-0.32875
2/20/2017,0,TH,0.104375
2/21/2017,0,TH,0.33625
2/22/2017,0,TH,0.266875
2/23/2017,0,TH,-0.89625
2/24/2017,0,TH,-2.23875
2/25/2017,0,TH,-1.43875
2/26/2017,0,TH,-1.895625
2/27/2017,0,TH,-3.30625
2/28/2017,0,TH,-0.099375
3/1/2017,0,TH,-1.28125
3/2/2017,0,TH,-4.071875
3/3/2017,0,TH,-6.3975
3/4/2017,0,TH,-5.798125
3/5/2017,0,TH,-1.524375
3/6/2017,0,TH,0.33125
3/7/2017,0,TH,-1.7525
3/8/2017,0,TH,-4.871875
3/9/2017,0,TH,-6.99625
3/10/2017,0,TH,-11.5875
